Stock name,ISIN,Quantity,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Realised P&L
RITES LIMITED,INE320J01015,2,04-06-2024,635,1270,14-06-2024,705,1410,140
RAIL VIKAS NIGAM LIMITED,INE415G01027,10,04-06-2024,350,3500,21-06-2024,405,4050,550
INDIAN RAILWAY FIN CORP L,INE053F01010,5,04-06-2024,174,870,21-06-2024,179,895,25
ORIENT BELL LIMITED,INE607D01018,5,04-06-2024,340,1700,24-06-2024,383,1915,215
ONE 97 COMMUNICATIONS LTD,INE982J01020,2,04-06-2024,357.4,714.8,26-06-2024,408,816,101.2
RITES LIMITED,INE320J01015,3,05-06-2024,588.95,1766.85,14-06-2024,705,2115,348.15
RITES LIMITED,INE320J01015,3,05-06-2024,579.15,1737.45,14-06-2024,705,2115,377.55
BLUE STAR LIMITED,INE472A01039,2,06-06-2024,1528.3,3056.6,13-06-2024,1690,3380,323.4
BHARAT ELECTRONICS LTD,INE263A01024,7,06-06-2024,271.45,1900.15,13-06-2024,294,2058,157.85
ITC LTD,INE154A01025,6,10-06-2024,437,2622,26-07-2024,502,3012,390
RELIANCE POWER LTD.,INE614G01033,5,11-06-2024,28.59,142.95,02-08-2024,34.49,172.45,29.5
RELIANCE POWER LTD.,INE614G01033,35,13-06-2024,32.58,1140.3,02-08-2024,34.49,1207.15,66.85
RELIANCE POWER LTD.,INE614G01033,15,13-06-2024,32.05,480.75,02-08-2024,34.49,517.35,36.6
TITAGARH RAIL SYSTEMS LTD,INE615H01020,2,18-06-2024,1490.1,2980.2,26-06-2024,1735,3470,489.8
SUN PHARMACEUTICAL IND L,INE044A01036,3,20-06-2024,1473,4419,26-06-2024,1519.5,4558.5,139.5
REC LIMITED,INE020B01018,5,20-06-2024,505.2,2526,01-07-2024,550,2750,224
POWER FIN CORP LTD.,INE134E01011,5,20-06-2024,479,2395,08-07-2024,555,2775,380
SUN PHARMACEUTICAL IND L,INE044A01036,1,21-06-2024,1464.5,1464.5,26-06-2024,1519.5,1519.5,55
HINDUSTAN PETROLEUM CORP,INE094A01015,5,21-06-2024,340,1700,12-07-2024,350.5,1752.5,52.5
JIO FIN SERVICES LTD,INE758E01017,5,24-06-2024,355,1775,27-09-2024,362,1810,35
BLUE STAR LIMITED,INE472A01039,1,26-06-2024,1651,1651,09-07-2024,1835,1835,184
TITAGARH RAIL SYSTEMS LTD,INE615H01020,1,27-06-2024,1820,1820,28-06-2024,1845,1845,25
TITAGARH RAIL SYSTEMS LTD,INE615H01020,1,27-06-2024,1800,1800,28-06-2024,1845,1845,45
BLUE STAR LIMITED,INE472A01039,1,28-06-2024,1625,1625,09-07-2024,1835,1835,210
BLUE STAR LIMITED,INE472A01039,1,01-07-2024,1620,1620,09-07-2024,1835,1835,215
KALYAN JEWELLERS IND LTD,INE303R01014,1,01-07-2024,487.5,487.5,23-07-2024,533,533,45.5
BLUE STAR LIMITED,INE472A01039,1,02-07-2024,1610,1610,09-07-2024,1835,1835,225
CIPLA LTD,INE059A01026,2,08-07-2024,1505.5,3011,12-08-2024,1587.7,3175.4,164.4
CIPLA LTD,INE059A01026,1,08-07-2024,1490,1490,12-08-2024,1587.7,1587.7,97.7
SENCO GOLD LIMITED,INE602W01019,1,08-07-2024,1063,1063,13-08-2024,1139,1139,76
SENCO GOLD LIMITED,INE602W01019,1,08-07-2024,1048,1048,13-08-2024,1139,1139,91
RAIL VIKAS NIGAM LIMITED,INE415G01027,1,09-07-2024,563,563,11-07-2024,630,630,67
RAIL VIKAS NIGAM LIMITED,INE415G01027,1,09-07-2024,539,539,11-07-2024,630,630,91
JUSTDIAL LTD.,INE599M01018,1,09-07-2024,997,997,18-07-2024,1127.95,1127.95,130.95
SENCO GOLD LIMITED,INE602W01019,1,09-07-2024,1017,1017,13-08-2024,1139,1139,122
PATANJALI FOODS LIMITED,INE619A01035,1,10-07-2024,1638,1638,31-07-2024,1715,1715,77
BLUE STAR LIMITED,INE472A01039,1,10-07-2024,1804,1804,01-08-2024,1760,1760,-44
BLUE STAR LIMITED,INE472A01039,1,10-07-2024,1710,1710,01-08-2024,1760,1760,50
NATIONAL ALUMINIUM CO LTD,INE139A01034,1,10-07-2024,201.5,201.5,27-09-2024,211,211,9.5
MAX HEALTHCARE INS LTD,INE027H01010,1,11-07-2024,888,888,26-07-2024,962,962,74
SENCO GOLD LIMITED,INE602W01019,1,11-07-2024,972,972,13-08-2024,1139,1139,167
PATANJALI FOODS LIMITED,INE619A01035,1,12-07-2024,1605,1605,31-07-2024,1715,1715,110
BLUE STAR LIMITED,INE472A01039,1,12-07-2024,1700,1700,01-08-2024,1760,1760,60
SENCO GOLD LIMITED,INE602W01019,1,12-07-2024,975,975,13-08-2024,1139,1139,164
BHARAT ELECTRONICS LTD,INE263A01024,3,24-07-2024,303,909,08-11-2024,300,900,-9
EMAMI LIMITED,INE548C01032,5,02-08-2024,777,3885,27-08-2024,829,4145,260
OLA ELECTRIC MOBILITY LTD,INE0LXG01040,30,12-08-2024,104,3120,26-08-2024,119.4,3582,462
OLA ELECTRIC MOBILITY LTD,INE0LXG01040,10,13-08-2024,120,1200,26-08-2024,119.4,1194,-6
ETERNAL LIMITED,INE758T01015,1,27-08-2024,258.06,258.06,20-09-2024,288,288,29.94
ETERNAL LIMITED,INE758T01015,1,28-08-2024,253.6,253.6,20-09-2024,288,288,34.4
ETERNAL LIMITED,INE758T01015,5,04-09-2024,242,1210,20-09-2024,288,1440,230
BHARAT ELECTRONICS LTD,INE263A01024,5,06-09-2024,283,1415,08-11-2024,300,1500,85
PRAJ INDUSTRIES LTD,INE074A01025,5,09-09-2024,718,3590,27-09-2024,809,4045,455
REC LIMITED,INE020B01018,5,19-09-2024,517.95,2589.75,12-11-2024,532,2660,70.25
REC LIMITED,INE020B01018,1,19-09-2024,529.5,529.5,12-11-2024,532,532,2.5
REC LIMITED,INE020B01018,1,19-09-2024,533.4,533.4,12-11-2024,532,532,-1.4